Dr,CSR,N_liq,ru_max,cyc,sec
0.45,0.1,25.75,0.972,26.0,0.9
0.45,0.12,12.25,0.974,13.0,1.2
0.45,0.14,6.75,0.97,7.0,0.6
0.45,0.16,4.25,0.974,5.0,1.1
0.45,0.18,2.75,0.738,3.0,0.4
0.45,0.2,2.25,0.974,3.0,1.0
0.45,0.24,1.25,0.971,2.0,0.8
0.45,0.28,1.25,0.973,2.0,1.0
0.55,0.1,,0.471,61.0,0.7
0.55,0.12,39.25,0.969,40.0,1.6
0.55,0.14,20.25,0.964,21.0,1.5
0.55,0.16,11.75,0.958,12.0,0.8
0.55,0.18,7.25,0.96,8.0,1.0
0.55,0.2,5.25,0.965,6.0,1.3
0.55,0.24,2.75,0.954,3.0,0.5
0.55,0.28,1.75,0.944,2.0,0.3
0.65,0.1,,0.292,61.0,0.6
0.65,0.12,,0.353,61.0,0.8
0.65,0.14,,0.537,61.0,1.3
0.65,0.16,41.75,0.95,42.0,1.8
0.65,0.18,25.25,0.952,26.0,1.7
0.65,0.2,15.75,0.929,16.0,0.9
0.65,0.24,7.25,0.937,8.0,1.1
0.65,0.28,3.75,0.894,4.0,0.4
