pair_id,coord,sounding,z_crit,amax_feb2011,qc1Ncs_pre,qc1Ncs_required,delta_req,FS_pre,manifestation
darfield_to_feb2011_vs_post_feb2011_to_2012:103-130,"1573098.63,5181190.07",CPT-AVS-09,2.5,0.7992,41.62369281119671,159.6278310216461,118.00413821044938,0.1705462591649207,0
darfield_to_feb2011_vs_post_feb2011_to_2012:1086-55511,"1573725.52,5181312.16",CPT-DAL-09,2.55,0.733,30.071224956225816,161.1990686723367,131.12784371611087,0.14714673691653732,0
darfield_to_feb2011_vs_post_feb2011_to_2012:1086-56291,"1573725.52,5181312.16",CPT-DAL-09,2.55,0.733,30.071224956225816,161.1990686723367,131.12784371611087,0.14714673691653732,0
darfield_to_feb2011_vs_post_feb2011_to_2012:1090-55461,"1573693.47,5181572.38",CPT-DAL-13,2.9,0.733,30.17268641984435,153.41148660185976,123.23880018201541,0.18371883099468228,0
darfield_to_feb2011_vs_post_feb2011_to_2012:110-55507,"1573171.14,5181557.65",CPT-AVS-16,2.45,0.7066,35.20463480571112,152.93730437152917,117.73266956581804,0.19681898597720707,0
darfield_to_feb2011_vs_post_feb2011_to_2012:110-56289,"1573171.14,5181557.65",CPT-AVS-16,2.45,0.7066,35.20463480571112,152.93730437152917,117.73266956581804,0.19681898597720707,0
darfield_to_feb2011_vs_post_feb2011_to_2012:111-55508,"1573403.45,5181583.98",CPT-AVS-17,2.3,0.733,39.69178059907591,161.8188007210449,122.127020121969,0.1582813102225651,0
darfield_to_feb2011_vs_post_feb2011_to_2012:1128-136,"1573766.75,5181305.56",CPT-DAL-51,2.5,0.733,48.57897254281493,156.88308730469578,108.30411476188084,0.1976859434442643,0
darfield_to_feb2011_vs_post_feb2011_to_2012:1400-15827,"1569410.69,5181224.17",CPT-MRV-04,2.0,0.5088,147.22,151.64909867742338,4.429098677423383,0.8872756819866856,0
darfield_to_feb2011_vs_post_feb2011_to_2012:280-55503,"1573678.78,5183942.60",CPT-BUR-18,2.0,0.5954999999999999,32.47041477515844,150.00879273282084,117.53837795766239,0.2118963017590604,0
darfield_to_feb2011_vs_post_feb2011_to_2012:280-55512,"1573678.78,5183942.60",CPT-BUR-18,2.0,0.5954999999999999,32.47041477515844,150.00879273282084,117.53837795766239,0.2118963017590604,0
darfield_to_feb2011_vs_post_feb2011_to_2012:280-55513,"1573678.78,5183942.60",CPT-BUR-18,2.0,0.5954999999999999,32.47041477515844,150.00879273282084,117.53837795766239,0.2118963017590604,0
darfield_to_feb2011_vs_post_feb2011_to_2012:280-76062,"1573678.78,5183942.60",CPT-BUR-18,2.0,0.5954999999999999,32.47041477515844,150.00879273282084,117.53837795766239,0.2118963017590604,0
darfield_to_feb2011_vs_post_feb2011_to_2012:284-55460,"1573681.08,5183528.51",CPT-BUR-22,3.5,0.5954999999999999,104.68905738155128,157.17812059550033,52.48906321394905,0.34294638787421156,0
darfield_to_feb2011_vs_post_feb2011_to_2012:284-55504,"1573681.08,5183528.51",CPT-BUR-22,3.5,0.5954999999999999,104.68905738155128,157.17812059550033,52.48906321394905,0.34294638787421156,0
darfield_to_feb2011_vs_post_feb2011_to_2012:284-55509,"1573681.08,5183528.51",CPT-BUR-22,3.5,0.5954999999999999,104.68905738155128,157.17812059550033,52.48906321394905,0.34294638787421156,0
darfield_to_feb2011_vs_post_feb2011_to_2012:284-56287,"1573681.08,5183528.51",CPT-BUR-22,3.5,0.5954999999999999,104.68905738155128,157.17812059550033,52.48906321394905,0.34294638787421156,0
darfield_to_feb2011_vs_post_feb2011_to_2012:287-55505,"1574310.74,5183287.96",CPT-BUR-26,3.5,0.6424,30.5504878820619,160.26920744780176,129.71871956573986,0.15069724519221947,1
darfield_to_feb2011_vs_post_feb2011_to_2012:287-55510,"1574310.74,5183287.96",CPT-BUR-26,3.5,0.6424,30.5504878820619,160.26920744780176,129.71871956573986,0.15069724519221947,1
darfield_to_feb2011_vs_post_feb2011_to_2012:287-55514,"1574310.74,5183287.96",CPT-BUR-26,3.5,0.6424,30.5504878820619,160.26920744780176,129.71871956573986,0.15069724519221947,1
darfield_to_feb2011_vs_post_feb2011_to_2012:306-330,"1575777.24,5184023.37",CPT-BUR-45,2.0,0.6993,23.09277029379794,158.72849614495496,135.63572585115702,0.15079389109432167,1
darfield_to_feb2011_vs_post_feb2011_to_2012:533-577,"1572311.39,5182134.51",CPT-RCH-21,2.05,0.6467,48.92027851619277,149.25667949183904,100.33640097564627,0.24854970821446237,0
darfield_to_feb2011_vs_post_feb2011_to_2012:717-55500,"1579212.13,5178865.59",CPT-SSH-09,3.75,1.22,37.49647603590892,173.8849190957776,136.38844305986868,0.09601988974527295,0
darfield_to_feb2011_vs_post_feb2011_to_2012:717-55501,"1579212.13,5178865.59",CPT-SSH-09,3.75,1.22,37.49647603590892,173.8849190957776,136.38844305986868,0.09601988974527295,0
darfield_to_feb2011_vs_post_feb2011_to_2012:717-55502,"1579212.13,5178865.59",CPT-SSH-09,3.75,1.22,37.49647603590892,173.8849190957776,136.38844305986868,0.09601988974527295,0
darfield_to_feb2011_vs_post_feb2011_to_2012:717-55506,"1579212.13,5178865.59",CPT-SSH-09,3.75,1.22,37.49647603590892,173.8849190957776,136.38844305986868,0.09601988974527295,0
darfield_to_feb2011_vs_post_feb2011_to_2012:717-56286,"1579212.13,5178865.59",CPT-SSH-09,3.75,1.22,37.49647603590892,173.8849190957776,136.38844305986868,0.09601988974527295,0
pre_darfield_vs_darfield_to_feb2011:7997-1082,"1574334.80,5182422.79",380,2.8,0.6854,47.72052348442352,160.16380535559554,112.44328187117202,0.17757841325639961,1
pre_darfield_vs_post_feb2011_to_2012:117092-117090,"1572128.78,5178847.21",CPT6010,2.4,0.8365,31.38840376984413,164.4037001132115,133.01529634336737,0.13377063071220244,1
pre_darfield_vs_post_feb2011_to_2012:5360-5359,"1570507.04,5180405.70",10468-CPT-02a,2.91,0.5763,21.49942359506904,155.01072898868227,133.51130539361324,0.1645779719544762,0
pre_darfield_vs_post_feb2011_to_2012:8565-44283,"1575235.72,5183112.64",868,2.7,0.7629,45.87079502780346,162.99766502882258,117.12687000101911,0.15916518808078872,0
pre_darfield_vs_post_feb2011_to_2012:8566-14934,"1575920.45,5183185.23",869,2.0,0.6993,96.46987290126351,156.63887118266277,60.168998281399254,0.3187974007943883,0
pre_darfield_vs_post_feb2011_to_2012:8567-5158,"1574948.54,5182784.26",870,2.0,0.7629,48.0512873874434,159.41309592091255,111.36180853346914,0.1847551574775182,0
